"HEIGHT","MASS","SEX","SMOKING","SMOKING.AGE","MATH","GROUP","DEPARTMENT"
165,52,"f",2,"NA","NA",11,1
157,48,"f",1,"NA","NA",11,1
186,61,"m",1,"NA","NA",11,1
173.5,70,"f",2,"NA","NA",11,1
163,48,"f",2,"NA","NA",11,1
175,68,"f",1,"NA","NA",11,1
165,58,"f",1,"NA","NA",11,1
180,63,"m",2,18,63,"NA",2
178,65,"f",4,"NA",64,"NA",2
167,63.4,"f",4,15,78,"NA",2
170,50,"f",0,"NA",75,"NA",2
172,58,"f",2,14,68,"NA",2
188,98,"m",2,18,63,"NA",2
168,55,"f",2,16,52,"NA",2
173,58,"f",2,18,65,1,2
177,63,"m",1,13,75,1,2
166,60,"f",1,15,"NA",1,2
175,56,"f",2,"NA",73,1,2
170,66,"f",2,14,52,1,2
163,60,"f",1,13,70,1,2
164,52,"f",2,19,66,1,2
175,62,"f",2,16,62,1,2
171,63,"f",2,18,75,1,2
176,67,"f",2,16,64,1,2
172,67,"f",2,16,70,1,2
166,48,"f",3,12,57,1,2
178,78,"m",4,16,68,1,2
167,54,"f",4,15,75,1,2
175,58,"f",2,16,72,1,2
173,60,"f",1,11,73,1,2
173,52,"f",1,13,56,1,2
176,63,"f",3,16,64,1,2
173,72,"f",2,"NA",75,1,2
168,51,"f",2,"NA",75,1,2
168,54,"f",1,14,72,1,2
163,48,"f",2,16,64,3,2
176,58,"f",4,15,81,3,2
172,73,"f",2,13,60,3,2
162,49,"f",2,18,72,3,2
168,60,"f",2,16,77,3,2
169,58,"f",3,15,54,3,2
164,53,"f",0,"NA",60,3,2
167,50,"f",2,16,73,3,2
165,52,"f",2,20,69,3,2
162,53,"f",2,12,72,3,2
172,50,"f",2,18,72,3,2
180,90,"m",0,"NA","NA",3,2
171,48,"f",3,14,72,3,2
160,52,"f",1,14,64,3,2
172,62,"f",2,14,77,3,2
160,46,"f",2,17,68,3,2
172,67,"m",1,9,48,3,2
175,70,"f",2,16,75,3,2
166,51,"f",2,"NA",60,3,2
165,53,"f",4,13,68,3,2
174,64,"f",2,18,73,2,2
167,51,"f",3,14,60,2,2
168,65,"f",2,14,55,2,2
163,56,"f",0,"NA",54,2,2
164,58,"f",2,13,77,2,2
170,59,"f",0,"NA",79,2,2
161,48,"f",0,"NA",72,2,2
170,60,"f",3,13,75,2,2
163,53,"f",0,"NA",54,2,2
165,53,"f",2,19,56,2,2
157,"NA","f",0,"NA",72,2,2
162,48,"f",2,9,70,2,2
169,65,"f",2,15,73,2,2

######################################### 
# COMMENTS SECTION
# 
# Variables list:
# HEIGHT = height, cm
# MASS = body mass, kg
# SEX = well, sex (according to ID data)
# SMOKING = based on a self-estimation, see below for scale
# SMOKING.AGE = age at which a person tried to smoke for the first time
# MATH = score at a national-wide math exam (Unified State Exam, "EGE", a Russian analog of the US SAT / ACT)
# GROUP = academic group code (changed for anonymisation purposes)
# DEPARTMENT = academic program code (anonymised)
# 
# Smoking scale:
# 0 = Never tried
# 1 = Tried, but did not like and quit
# 2 = Recreational (usually do not smoke but could smoke on special occasions, like parties, etc.)
# 3 = Moderate smoker
# 4 = Heavy smoker
#
# Copyright notice: This dataset was compiled by Alexei Kouprianov, alexei.kouprianov@gmail.com on February 13, 2016 (v. 1.0) and extended on May 21, 2016 to include more students and more variables.
# It can be used for personal educational or research purposes and distributed freely without prior consent of the author, provided that this notice is reproduced "as is".
# It can be modified also, but the persons who modified it should clearly describe the modifications in the comments section.
#
# Preferred citation format (adjust accordingly, when needed): Kouprianov, Alexei (2016) Two hundred and twenty three students: height, body mass, sex, smoking behaviour, math test, and academic group. A tab-delimited dataset, V.2.0.
#
# The same in BibTeX (for the ones who know how to use it).
# 
# @misc{students,
#  author       = {Alexei Kouprianov}, 
#  title        = {Two hundred and twenty three students: height, body mass, sex, smoking behaviour, math test, and academic group. A tab-delimited dataset, V.2.0},
#  year         = 2016
# }
#
